GENUS$,SPECIES$,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
Acalypha,diversifolia,Euphorbiacea,0.501,-99,6.3,41.6,0.195,0.149,0.061,2246,63.8,60.0,49.5,1991,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
Adelia,triloba,Euphorbiacea,0.648,-99,13.2,37.6,0.171,0.119,0.042,333,51.0,44.7,35.4,305,0.036,0.026,0.0066,425,28.9,23.5,14.5,359
Alchornea,costaricensi,Euphorbiacea,0.393,0.019603,19.2,61.2,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.073,0.053,0.0180,650,23.1,16.5,10.4,521
Alibertia,edulis,Rubiaceae,0.788,0.012025,10.1,60.4,0.104,0.083,0.026,1385,16.9,15.9,12.2,1118,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Alseis,blackiana,Rubiaceae,0.578,0.000049,28.6,39.6,0.105,0.075,0.022,26967,19.9,18.4,14.1,22003,0.042,0.032,0.0120,4124,6.9,4.1,2.6,3195
Andira,inermis,Fabaceae:Pap,0.683,0.469267,20.8,45.2,0.092,0.066,0.024,871,14.8,12.6,9.1,714,0.034,0.018,0.0040,144,10.3,19.0,12.0,117
Annona,acuminata,Annonaceae,0.645,0.027533,8.4,53.0,0.104,0.078,0.024,2031,22.0,21.6,16.5,1658,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Apeiba,membranacea,Tiliaceae,0.321,0.004113,28.4,24.4,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.056,0.04,0.0139,958,20.2,13.2,8.5,776
Aspidosperma,spruceanum,Apocynaceae,0.770,0.453950,38.6,92.7,0.088,0.065,0.025,1634,11.4,10.5,9.4,1313,0.057,0.045,0.0202,239,12.8,9.6,4.8,189
Astronium,graveolens,Anacardiacea,0.808,0.017660,34.8,35.1,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.037,0.028,0.0101,169,9.1,6.0,2.9,136
Beilschmiedi,pendula,Lauraceae,0.528,3.876056,34.2,69.8,0.115,0.089,0.032,7878,26.2,24.1,18.0,6533,0.044,0.032,0.0113,1282,17.6,11.5,7.3,1048
Brosimum,alicastrum,Moraceae,0.672,0.701005,37.4,48.1,0.114,0.092,0.036,2173,5.5,4.9,4.4,1761,0.038,0.026,0.0069,786,13.8,11.0,6.8,621
Calophyllum,longifolium,Clusiaceae,0.541,1.950110,36.4,85.6,0.131,0.1,0.040,3052,24.6,20.1,14.9,2233,0.049,0.041,0.0155,221,47.8,37.0,22.2,185
Capparis,frondosa,Capparaceae,0.633,0.080482,7.2,72.3,0.082,0.062,0.018,13974,15.1,13.1,10.9,11576,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Casearia,aculeata,Flacourtiace,0.690,0.002075,13.1,50.8,0.113,0.086,0.029,1402,26.3,22.8,18.6,1135,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Casearia,arborea,Flacourtiace,0.562,0.001150,22.5,27.5,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.056,0.038,0.0156,461,38.1,29.2,18.4,392
Casearia,sylvestris,Flacourtiace,0.662,-99.000000,16.4,70.4,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.03,0.023,0.0099,258,35.2,23.9,16.4,220
Cassipourea,elliptica,Rhizophorace,0.660,0.003657,24.0,75.4,0.112,0.086,0.032,3399,9.4,8.5,5.8,2674,0.043,0.036,0.0169,356,17.6,14.6,9.1,275
