replicon_gembase_name	size	mobility	Predicted_PTU
ESCO001.0523.00007.002P	121385	pMOB	PTU-FE
ESCO001.0523.00007.003P	80186	pCONJ	PTU-N1
ESCO001.0523.00007.004P	47560	PP	PTU-?
ESCO001.0523.00008.002P	168318	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00009.002P	161447	pCONJ	PTU-B/O/K/Z
ESCO001.0523.00010.002P	193908	pCONJ	PTU-C
ESCO001.0523.00010.003P	151583	pCONJ	PTU-FE
ESCO001.0523.00011.002P	144859	pCONJ	PTU-FE
ESCO001.0523.00011.003P	106397	pCONJ	PTU-I1
ESCO001.0523.00011.004P	4599	pMOB	PTU-E1
ESCO001.0523.00015.002P	122966	pCONJ	PTU-FE
ESCO001.0523.00015.003P	116803	pCONJ	-
ESCO001.0523.00015.004P	30855	pCONJ	PTU-X4
ESCO001.0523.00015.005P	5167	pMOB	PTU-E7
ESCO001.0523.00015.006P	4088	pMOB	PTU-E10
ESCO001.0523.00015.007P	1506	pOriT	PTU-E9
ESCO001.0523.00018.002P	88546	pCONJ	PTU-I1
ESCO001.0523.00018.003P	75569	pMOB	PTU-E48
ESCO001.0523.00018.004P	1549	pOriT	PTU-E9
ESCO001.0523.00019.002P	207265	pdCONJ	PTU-E78
ESCO001.0523.00025.002P	293826	pCONJ	PTU-FSh
ESCO001.0523.00025.003P	47606	pMOB	-
ESCO001.0523.00028.002P	67545	pCONJ	PTU-FE
ESCO001.0523.00033.002P	149683	pCONJ	PTU-FE
ESCO001.0523.00033.003P	5167	pMOB	PTU-E7
ESCO001.0523.00033.004P	3904	pMOB	PTU-E19
ESCO001.0523.00034.002P	110808	pCONJ	PTU-FE
ESCO001.0523.00034.003P	92766	pCONJ	PTU-I1
ESCO001.0523.00034.004P	6647	pMOB	PTU-E1
ESCO001.0523.00034.005P	4072	pMOB	PTU-E10
ESCO001.0523.00034.006P	1551	pOriT	PTU-E9
ESCO001.0523.00035.002P	114221	pCONJ	PTU-FE
ESCO001.0523.00036.002P	93074	pCONJ	PTU-FE
